Label,Volume,Elongation,Flatness,Radius,CentroidX,CentroidY,CentroidZ,IntensitySkewness, IntensityMean, IntensitySTD, IntensityKurtosis, Axis1length, Axis2length, Axis3length
881,290,1.12448732322312,1.53176432548733,4.10616562417321,401.679310344828,199.544827586207,326.451724137931,0.589599973428999,0.00126088760323533,0.000415654257825886,0.0157874889729914,5.94319942708118,9.1035808616597,10.2368612748729
885,158,1.25198488985711,1.27347683708884,3.3536893048878,292.335443037975,207.898734177215,326.613924050633,0.653116616213414,0.00115339079086339,0.000333076475174571,-0.464856625385218,5.29694860371996,6.74554135408745,8.44531584922376
916,374,1.1031907669609,1.45187239581564,4.46952115937231,116.510695187166,143.251336898396,328.417112299465,1.03544587272432,0.00119630613346848,0.000330195424625501,1.5200238989933,6.74717262640275,9.79603368607704,10.8068939153181
923,134,1.05494138117953,1.29871735181975,3.174476109612,311.492537313433,161.261194029851,326.044776119403,0.603002080697858,0.0012982833692665,0.00029257700579138,-0.321766180691691,5.23941566060657,6.80452003182591,7.17836976063822
931,407,1.21996723921699,1.36467847244226,4.59729035058503,391.717444717445,173.351351351351,329.262899262899,0.78051360165636,0.00113459146828722,0.000321388971374354,0.489169568241032,6.99405396703568,9.54463488391301,11.6441418686616
933,292,1.47944073115065,1.21651241445812,4.11558346822847,285.565068493151,177.571917808219,327.66095890411,0.459693296841719,0.0013602760623206,0.000360030427201171,-0.675088824932992,6.338957730074,7.7114207733603,11.4085899871505
936,424,1.26718543498064,1.27542031568486,4.66042742317893,292.735849056604,185.811320754717,327.799528301887,0.401333989199254,0.00135302725676359,0.000372892422156388,-0.466208986775564,7.32386168202702,9.34100197852314,11.8367816553099
946,142,1.45200343610539,1.38780040312987,3.23643268397037,297.366197183099,201.87323943662,326.007042253521,0.455429149241916,0.00124065889271868,0.000305633669734272,-0.293843170244597,4.59433529060358,6.37602036841346,9.25800348361426
957,156,1.58971972715372,1.28267319656591,3.33947858652419,287.570512820513,229.557692307692,327.608974358974,0.585652560981898,0.00110262425471611,0.000303655098562351,0.189792147509592,4.84757411522184,6.21785338596174,9.88464418821292
959,216,1.3059093847994,1.28324274573507,3.7221029453964,323.689814814815,236.787037037037,326.537037037037,0.673757150795473,0.00130945346905652,0.000308614216102013,0.320807831708384,5.76733019650221,7.40088463692027,9.66488470317187
967,170,1.24069453632781,1.37787476477898,3.43652971899255,218.252941176471,253.494117647059,327.288235294118,0.625210007391909,0.00113159028936506,0.000320101144271545,0.280934402890058,5.16561433887486,7.1175696421161,8.83072976690614
990,311,1.05020110069638,1.68757395824555,4.20297938546912,150.228295819936,231.186495176849,327.96463022508,0.531262309200831,0.001298583314793,0.000380092412324708,0.583791102589179,5.83428834497634,9.84579307587756,10.3400627255154
